	city	color	doors	prise	daytime	neighborhood	car_age	found
932	Samara	grey	2	300-500k	night	bad	5+	not found
933	Saint Petersburg	red	5+	700-1000k	morning	bad	4	found
934	Novosibirsk	red	2	150-200k	night	mixed	1	found
935	Novosibirsk	white	2	1000-2000k	morning	bad	2	not found
936	Yekaterinburg	black	4	150-200k	evening	good	1	not found
937	Samara	white	4	200-300k	evening	bad	4	not found
938	Saint Petersburg	white	2	500-700k	night	bad	3	not found
939	Moscow	white	4	1000-2000k	evening	bad	1	found
940	Yekaterinburg	red	2	500-700k	night	mixed	5+	not found
941	Yekaterinburg	black	4	150-200k	evening	bad	4	found
942	Saint Petersburg	blue	2	700-1000k	morning	good	4	found
943	Yekaterinburg	red	5+	300-500k	evening	mixed	1	found
944	Yekaterinburg	black	2	500-700k	afternoon	good	1	found
945	Yekaterinburg	blue	5+	1000-2000k	morning	good	2	not found
946	Chelyabinsk	black	5+	200-300k	evening	bad	2	not found
947	Samara	white	5+	200-300k	morning	bad	5+	found
948	Novosibirsk	red	2	2000k+	morning	good	5+	not found
949	Moscow	black	5+	500-700k	morning	bad	3	found
950	Novosibirsk	white	4	150-200k	evening	bad	5+	not found
951	Yekaterinburg	white	2	200-300k	evening	bad	4	not found
952	Chelyabinsk	blue	2	500-700k	night	mixed	4	found
953	Novosibirsk	blue	5+	500-700k	morning	bad	5+	found
954	Saint Petersburg	black	2	300-500k	morning	mixed	4	not found
955	Saint Petersburg	blue	5+	300-500k	afternoon	bad	5+	not found
956	Kazan	grey	5+	150-200k	evening	mixed	2	not found
957	Samara	red	2	700-1000k	night	mixed	4	found
958	Novosibirsk	black	4	700-1000k	afternoon	mixed	5+	not found
959	Novosibirsk	red	5+	700-1000k	afternoon	mixed	1	found
960	Kazan	red	2	2000k+	afternoon	good	4	not found
961	Samara	grey	4	2000k+	evening	bad	2	found
962	Kazan	black	2	2000k+	evening	bad	1	found
963	Samara	white	4	500-700k	morning	bad	2	not found
964	Kazan	blue	2	700-1000k	afternoon	bad	2	not found
965	Saint Petersburg	white	5+	1000-2000k	evening	bad	2	not found
966	Yekaterinburg	grey	5+	300-500k	morning	good	3	not found
967	Yekaterinburg	grey	2	500-700k	night	mixed	4	not found
968	Samara	black	2	500-700k	night	bad	4	found
969	Moscow	white	4	200-300k	afternoon	mixed	3	found
970	Moscow	white	5+	700-1000k	night	bad	5+	not found
971	Yekaterinburg	black	5+	700-1000k	evening	mixed	5+	not found
972	Kazan	blue	5+	300-500k	night	good	4	found
973	Chelyabinsk	red	5+	150-200k	afternoon	good	3	found
974	Yekaterinburg	grey	2	2000k+	evening	bad	4	not found
975	Samara	black	2	2000k+	evening	bad	5+	found
976	Saint Petersburg	red	4	200-300k	afternoon	good	2	not found
977	Kazan	blue	4	500-700k	afternoon	bad	3	found
978	Novosibirsk	red	5+	200-300k	morning	good	1	not found
979	Saint Petersburg	grey	2	2000k+	night	mixed	2	found
980	Chelyabinsk	white	2	300-500k	evening	bad	5+	not found
981	Chelyabinsk	black	5+	200-300k	afternoon	good	3	found
982	Kazan	grey	2	2000k+	night	bad	1	not found
983	Novosibirsk	white	5+	1000-2000k	evening	good	3	not found
984	Yekaterinburg	blue	4	1000-2000k	night	bad	3	not found
985	Kazan	black	4	200-300k	night	bad	1	found
986	Yekaterinburg	grey	4	2000k+	evening	bad	4	found
987	Chelyabinsk	black	4	150-200k	morning	good	3	not found
988	Samara	red	4	200-300k	evening	bad	4	found
989	Moscow	white	2	1000-2000k	night	bad	4	not found
990	Kazan	red	2	500-700k	evening	bad	3	found
991	Novosibirsk	black	4	700-1000k	evening	mixed	4	found
992	Yekaterinburg	black	4	300-500k	evening	good	1	found
993	Novosibirsk	red	5+	2000k+	morning	bad	4	not found
994	Moscow	black	4	200-300k	morning	mixed	5+	not found
995	Novosibirsk	black	2	2000k+	morning	good	4	not found
996	Chelyabinsk	red	2	300-500k	night	bad	1	found
997	Samara	grey	2	300-500k	evening	bad	4	found
998	Samara	white	5+	500-700k	afternoon	good	3	found
999	Novosibirsk	white	5+	2000k+	afternoon	bad	2	found
1000	Yekaterinburg	red	5+	500-700k	evening	bad	1	found
1001	Saint Petersburg	black	2	1000-2000k	afternoon	good	5+	not found
1002	Samara	white	2	1000-2000k	evening	bad	1	found
1003	Samara	red	2	200-300k	morning	mixed	1	found
1004	Moscow	red	5+	700-1000k	afternoon	mixed	5+	found
1005	Chelyabinsk	blue	2	200-300k	night	mixed	3	not found
1006	Moscow	white	4	1000-2000k	night	bad	3	found
1007	Saint Petersburg	grey	5+	150-200k	afternoon	good	4	found
1008	Yekaterinburg	white	2	300-500k	afternoon	bad	2	found
1009	Moscow	white	2	200-300k	night	bad	1	not found
1010	Yekaterinburg	black	4	700-1000k	night	bad	2	not found
1011	Kazan	white	5+	200-300k	morning	bad	1	not found
1012	Kazan	grey	2	700-1000k	morning	mixed	2	not found
1013	Saint Petersburg	grey	2	500-700k	night	bad	5+	found
1014	Saint Petersburg	blue	5+	150-200k	afternoon	bad	4	found
1015	Samara	blue	4	300-500k	afternoon	bad	2	not found
1016	Chelyabinsk	white	2	150-200k	night	good	3	found
1017	Novosibirsk	grey	4	2000k+	morning	bad	3	found
1018	Kazan	grey	5+	1000-2000k	night	good	1	found
1019	Moscow	red	5+	700-1000k	evening	mixed	5+	not found
1020	Saint Petersburg	red	4	150-200k	afternoon	bad	5+	not found
1021	Samara	red	2	300-500k	afternoon	good	1	found
1022	Chelyabinsk	grey	4	1000-2000k	morning	bad	4	not found
1023	Novosibirsk	blue	2	2000k+	night	good	2	not found
1024	Saint Petersburg	grey	2	500-700k	morning	bad	1	not found
1025	Kazan	black	2	2000k+	evening	mixed	4	not found
1026	Chelyabinsk	red	5+	150-200k	evening	mixed	5+	found
1027	Kazan	white	2	200-300k	night	mixed	4	found
1028	Yekaterinburg	blue	2	500-700k	evening	mixed	1	not found
1029	Novosibirsk	blue	2	150-200k	afternoon	mixed	3	not found
1030	Samara	white	5+	1000-2000k	morning	bad	5+	not found
1031	Moscow	grey	2	300-500k	afternoon	bad	4	found
1032	Saint Petersburg	black	5+	200-300k	afternoon	mixed	4	not found
1033	Moscow	white	5+	200-300k	night	bad	2	not found
1034	Moscow	red	5+	1000-2000k	night	bad	2	not found
1035	Moscow	grey	2	500-700k	afternoon	bad	1	found
1036	Samara	black	4	150-200k	afternoon	bad	4	not found
1037	Moscow	black	5+	150-200k	afternoon	bad	1	found
1038	Chelyabinsk	blue	4	2000k+	night	bad	5+	found
1039	Novosibirsk	white	2	2000k+	night	good	2	not found
1040	Kazan	white	5+	200-300k	morning	bad	2	not found
1041	Samara	blue	2	2000k+	afternoon	bad	3	not found
1042	Saint Petersburg	white	5+	700-1000k	afternoon	mixed	1	found
1043	Chelyabinsk	black	2	300-500k	night	bad	5+	not found
1044	Moscow	white	2	2000k+	afternoon	mixed	4	found
1045	Moscow	white	2	200-300k	night	good	1	found
1046	Kazan	red	4	300-500k	night	bad	1	not found
1047	Samara	grey	4	300-500k	afternoon	good	3	not found
1048	Novosibirsk	red	2	2000k+	evening	mixed	3	found
1049	Chelyabinsk	white	5+	700-1000k	night	mixed	1	not found
1050	Yekaterinburg	blue	5+	300-500k	night	good	3	not found
1051	Saint Petersburg	red	2	700-1000k	afternoon	bad	1	found
1052	Moscow	grey	2	200-300k	night	bad	5+	found
1053	Yekaterinburg	blue	2	500-700k	evening	mixed	5+	not found
1054	Chelyabinsk	white	4	200-300k	evening	good	5+	not found
1055	Yekaterinburg	black	4	2000k+	night	good	2	found
1056	Moscow	red	2	150-200k	night	mixed	5+	not found
1057	Yekaterinburg	black	4	2000k+	afternoon	good	5+	not found
1058	Kazan	grey	4	150-200k	night	bad	1	not found
1059	Kazan	grey	2	1000-2000k	evening	bad	3	not found
1060	Novosibirsk	grey	4	200-300k	afternoon	good	2	not found
1061	Moscow	grey	5+	700-1000k	evening	bad	3	not found
1062	Chelyabinsk	red	4	2000k+	night	bad	5+	found
1063	Samara	white	2	700-1000k	evening	good	1	found
1064	Saint Petersburg	black	4	300-500k	evening	good	1	found
1065	Kazan	blue	4	2000k+	night	good	2	not found
1066	Chelyabinsk	red	5+	300-500k	afternoon	mixed	2	found
1067	Novosibirsk	grey	4	2000k+	afternoon	bad	3	found
1068	Moscow	blue	5+	150-200k	evening	bad	2	not found
1069	Novosibirsk	grey	4	200-300k	morning	good	5+	found
1070	Novosibirsk	black	4	300-500k	morning	mixed	2	found
1071	Moscow	black	5+	300-500k	afternoon	good	4	found
1072	Saint Petersburg	grey	5+	500-700k	night	good	1	not found
1073	Saint Petersburg	red	5+	700-1000k	night	mixed	5+	found
1074	Saint Petersburg	white	2	2000k+	afternoon	good	2	found
1075	Kazan	white	5+	500-700k	afternoon	good	4	not found
1076	Samara	grey	5+	300-500k	night	mixed	2	found
1077	Moscow	blue	5+	300-500k	afternoon	good	1	found
1078	Novosibirsk	black	4	2000k+	afternoon	good	1	found
1079	Chelyabinsk	red	2	200-300k	evening	bad	4	not found
1080	Samara	grey	4	150-200k	afternoon	mixed	3	not found
1081	Yekaterinburg	grey	5+	500-700k	afternoon	bad	4	found
1082	Yekaterinburg	black	2	300-500k	afternoon	good	4	found
1083	Yekaterinburg	red	2	200-300k	morning	mixed	3	found
1084	Moscow	black	2	500-700k	afternoon	bad	5+	not found
1085	Novosibirsk	white	4	200-300k	night	mixed	3	found
1086	Yekaterinburg	black	5+	700-1000k	afternoon	bad	2	not found
1087	Chelyabinsk	blue	4	300-500k	afternoon	bad	2	found
1088	Moscow	red	4	150-200k	night	bad	5+	not found
1089	Novosibirsk	blue	5+	1000-2000k	evening	bad	2	found
1090	Saint Petersburg	blue	2	700-1000k	night	bad	3	found
1091	Kazan	grey	2	300-500k	morning	bad	5+	found
1092	Samara	grey	2	200-300k	afternoon	good	4	found
1093	Chelyabinsk	grey	5+	200-300k	evening	bad	3	not found
1094	Chelyabinsk	white	4	300-500k	evening	bad	5+	found
1095	Kazan	white	5+	150-200k	morning	mixed	1	found
1096	Novosibirsk	red	4	200-300k	morning	bad	2	found
1097	Chelyabinsk	blue	2	500-700k	night	mixed	1	found
1098	Samara	white	2	2000k+	afternoon	good	3	not found
1099	Kazan	grey	2	700-1000k	night	good	4	found
1100	Samara	black	2	200-300k	evening	good	2	not found
1101	Kazan	red	5+	700-1000k	evening	good	5+	found
1102	Yekaterinburg	black	5+	1000-2000k	morning	good	3	not found
1103	Moscow	blue	2	700-1000k	evening	good	5+	found
1104	Samara	red	4	2000k+	morning	mixed	3	not found
1105	Yekaterinburg	red	5+	200-300k	night	bad	5+	not found
1106	Kazan	red	5+	700-1000k	morning	mixed	2	found
1107	Saint Petersburg	black	5+	300-500k	morning	bad	2	not found
1108	Chelyabinsk	blue	2	700-1000k	night	bad	4	not found
1109	Novosibirsk	black	2	150-200k	morning	bad	5+	not found
1110	Kazan	red	4	500-700k	morning	mixed	4	not found
1111	Novosibirsk	grey	2	200-300k	evening	bad	5+	not found
1112	Samara	white	4	150-200k	evening	bad	3	found
1113	Kazan	red	2	700-1000k	evening	bad	2	found
1114	Samara	grey	5+	1000-2000k	morning	bad	3	not found
1115	Chelyabinsk	white	5+	150-200k	afternoon	bad	1	not found
1116	Saint Petersburg	white	5+	300-500k	afternoon	bad	1	not found
1117	Kazan	white	4	1000-2000k	night	bad	3	not found
1118	Novosibirsk	white	4	1000-2000k	morning	bad	5+	not found
1119	Chelyabinsk	red	4	150-200k	night	mixed	2	found
1120	Kazan	blue	2	700-1000k	night	mixed	2	found
1121	Yekaterinburg	blue	4	500-700k	evening	bad	5+	found
1122	Moscow	blue	4	300-500k	afternoon	mixed	3	found
1123	Saint Petersburg	blue	5+	700-1000k	morning	good	5+	found
1124	Kazan	grey	5+	1000-2000k	night	bad	2	not found
1125	Chelyabinsk	grey	4	200-300k	morning	good	1	not found
1126	Samara	black	4	1000-2000k	evening	bad	3	found
1127	Yekaterinburg	red	4	150-200k	afternoon	good	5+	not found
1128	Kazan	grey	4	700-1000k	morning	mixed	1	not found
1129	Novosibirsk	blue	4	300-500k	afternoon	bad	3	found
1130	Novosibirsk	red	5+	1000-2000k	evening	bad	3	found
1131	Chelyabinsk	blue	4	150-200k	morning	good	3	found
1132	Moscow	red	5+	300-500k	night	bad	5+	found
1133	Novosibirsk	grey	4	1000-2000k	morning	bad	1	found
1134	Samara	blue	5+	150-200k	afternoon	bad	4	not found
1135	Saint Petersburg	blue	2	500-700k	night	bad	2	found
1136	Saint Petersburg	black	4	200-300k	evening	bad	1	found
1137	Samara	red	2	500-700k	night	mixed	5+	found
1138	Yekaterinburg	grey	4	150-200k	morning	good	5+	found
1139	Kazan	blue	4	500-700k	evening	bad	1	not found
1140	Saint Petersburg	black	4	700-1000k	night	bad	2	found
1141	Saint Petersburg	red	5+	1000-2000k	evening	bad	5+	found
1142	Novosibirsk	blue	5+	1000-2000k	evening	bad	5+	found
1143	Moscow	red	2	200-300k	night	bad	4	not found
1144	Moscow	grey	5+	200-300k	night	good	5+	not found
1145	Moscow	grey	4	300-500k	evening	bad	5+	not found
1146	Novosibirsk	white	2	700-1000k	evening	bad	4	not found
1147	Yekaterinburg	white	5+	500-700k	night	bad	2	not found
1148	Novosibirsk	blue	4	1000-2000k	afternoon	bad	2	not found
1149	Kazan	red	2	300-500k	afternoon	good	5+	found
1150	Novosibirsk	black	5+	700-1000k	night	good	2	not found
1151	Yekaterinburg	grey	4	700-1000k	morning	bad	2	not found
1152	Saint Petersburg	blue	4	1000-2000k	night	bad	1	found
1153	Kazan	black	4	300-500k	afternoon	bad	4	found
1154	Yekaterinburg	white	5+	200-300k	evening	bad	4	not found
1155	Samara	black	5+	500-700k	morning	good	2	not found
1156	Yekaterinburg	grey	4	700-1000k	afternoon	bad	2	not found
1157	Saint Petersburg	red	5+	1000-2000k	evening	good	3	found
1158	Kazan	blue	5+	2000k+	evening	bad	5+	found
1159	Kazan	red	4	1000-2000k	evening	bad	3	found
1160	Kazan	blue	5+	500-700k	night	mixed	3	not found
1161	Chelyabinsk	grey	5+	2000k+	morning	mixed	3	not found
1162	Saint Petersburg	blue	2	700-1000k	morning	bad	4	not found
1163	Yekaterinburg	grey	2	1000-2000k	morning	mixed	2	not found
1164	Chelyabinsk	white	4	200-300k	afternoon	mixed	2	not found
1165	Saint Petersburg	red	2	1000-2000k	evening	bad	1	not found
1166	Samara	blue	2	500-700k	night	good	1	found
1167	Yekaterinburg	black	2	500-700k	morning	bad	2	not found
1168	Saint Petersburg	blue	4	700-1000k	afternoon	mixed	2	not found
1169	Novosibirsk	white	2	150-200k	morning	bad	5+	found
1170	Yekaterinburg	red	5+	2000k+	morning	mixed	5+	found
1171	Samara	blue	5+	500-700k	evening	mixed	5+	not found
1172	Moscow	blue	4	200-300k	morning	bad	5+	found
1173	Samara	red	2	200-300k	morning	bad	5+	found
1174	Yekaterinburg	white	5+	150-200k	morning	mixed	5+	found
1175	Chelyabinsk	red	4	150-200k	evening	bad	2	not found
1176	Moscow	grey	4	500-700k	night	good	3	not found
1177	Samara	blue	4	500-700k	night	good	5+	found
1178	Novosibirsk	red	5+	2000k+	night	bad	1	not found
1179	Novosibirsk	black	5+	700-1000k	afternoon	bad	2	found
1180	Chelyabinsk	red	5+	300-500k	night	bad	1	not found
1181	Saint Petersburg	black	5+	500-700k	night	good	3	not found
1182	Novosibirsk	blue	5+	200-300k	afternoon	bad	3	found
1183	Saint Petersburg	red	5+	300-500k	afternoon	good	3	found
1184	Moscow	grey	5+	150-200k	evening	bad	4	not found
1185	Kazan	blue	4	300-500k	morning	mixed	1	found
1186	Novosibirsk	grey	4	700-1000k	morning	mixed	2	found
1187	Moscow	grey	4	200-300k	evening	bad	3	found
1188	Yekaterinburg	red	2	2000k+	night	bad	5+	not found
1189	Moscow	blue	5+	200-300k	night	bad	5+	not found
1190	Samara	grey	4	150-200k	evening	bad	5+	not found
1191	Saint Petersburg	black	4	700-1000k	afternoon	bad	4	not found
1192	Saint Petersburg	white	5+	300-500k	night	mixed	4	found
1193	Saint Petersburg	black	5+	1000-2000k	afternoon	bad	2	not found
1194	Moscow	black	2	2000k+	night	mixed	5+	found
1195	Kazan	blue	2	150-200k	evening	good	4	found
1196	Chelyabinsk	black	2	2000k+	evening	good	3	not found
1197	Chelyabinsk	black	2	300-500k	afternoon	good	2	not found
1198	Chelyabinsk	blue	5+	2000k+	morning	bad	2	found
1199	Novosibirsk	black	2	1000-2000k	night	mixed	1	found
1200	Saint Petersburg	white	2	150-200k	afternoon	mixed	5+	not found
1201	Kazan	red	5+	500-700k	morning	good	4	found
1202	Yekaterinburg	blue	2	500-700k	morning	bad	3	not found
1203	Novosibirsk	black	2	500-700k	evening	mixed	1	found
1204	Kazan	white	2	700-1000k	morning	bad	3	not found
1205	Samara	grey	4	1000-2000k	morning	bad	4	not found
1206	Saint Petersburg	grey	4	1000-2000k	evening	bad	4	not found
1207	Saint Petersburg	blue	4	200-300k	evening	bad	5+	found
1208	Saint Petersburg	blue	4	700-1000k	night	good	3	not found
1209	Novosibirsk	blue	5+	150-200k	afternoon	bad	2	not found
1210	Novosibirsk	white	5+	2000k+	morning	bad	3	found
1211	Yekaterinburg	blue	5+	700-1000k	afternoon	good	2	not found
1212	Novosibirsk	blue	4	500-700k	morning	bad	5+	not found
1213	Yekaterinburg	blue	5+	700-1000k	evening	bad	4	not found
1214	Novosibirsk	white	5+	500-700k	afternoon	bad	5+	not found
1215	Yekaterinburg	blue	5+	500-700k	night	good	2	found
1216	Yekaterinburg	blue	4	200-300k	night	mixed	3	not found
1217	Chelyabinsk	blue	4	2000k+	night	bad	2	found
1218	Kazan	blue	4	150-200k	afternoon	good	3	found
1219	Novosibirsk	red	5+	2000k+	morning	bad	5+	found
1220	Samara	black	5+	150-200k	morning	bad	3	not found
1221	Saint Petersburg	blue	4	500-700k	night	mixed	4	found
1222	Saint Petersburg	red	5+	2000k+	morning	mixed	3	found
1223	Yekaterinburg	grey	5+	500-700k	evening	good	3	not found
1224	Yekaterinburg	grey	4	1000-2000k	afternoon	bad	3	found
1225	Samara	blue	4	200-300k	evening	bad	2	found
1226	Chelyabinsk	grey	5+	2000k+	afternoon	mixed	5+	found
1227	Moscow	white	5+	2000k+	afternoon	bad	1	found
1228	Novosibirsk	blue	4	700-1000k	night	good	5+	not found
1229	Yekaterinburg	black	5+	150-200k	afternoon	good	2	found
1230	Chelyabinsk	red	4	1000-2000k	afternoon	mixed	5+	found
1231	Samara	white	5+	200-300k	evening	bad	1	found
1232	Kazan	black	5+	300-500k	evening	good	5+	not found
1233	Novosibirsk	blue	5+	300-500k	afternoon	bad	5+	not found
1234	Samara	blue	4	500-700k	morning	bad	1	found
1235	Samara	black	4	300-500k	night	good	3	found
1236	Novosibirsk	grey	2	150-200k	afternoon	good	2	not found
1237	Saint Petersburg	red	4	300-500k	evening	bad	4	not found
1238	Samara	red	4	700-1000k	morning	bad	3	not found
1239	Yekaterinburg	black	4	200-300k	afternoon	mixed	5+	found
1240	Chelyabinsk	blue	4	200-300k	afternoon	mixed	2	found
1241	Saint Petersburg	red	2	1000-2000k	morning	bad	5+	found
1242	Moscow	blue	2	700-1000k	morning	mixed	3	found
1243	Chelyabinsk	blue	2	500-700k	morning	bad	4	not found
1244	Novosibirsk	red	5+	500-700k	evening	bad	3	found
1245	Yekaterinburg	white	5+	500-700k	afternoon	good	4	found
1246	Yekaterinburg	black	2	1000-2000k	morning	mixed	4	found
1247	Yekaterinburg	grey	5+	200-300k	evening	bad	4	not found
1248	Yekaterinburg	blue	4	150-200k	afternoon	mixed	2	found
1249	Kazan	black	2	150-200k	afternoon	mixed	3	not found
1250	Yekaterinburg	black	2	1000-2000k	afternoon	bad	5+	not found
1251	Novosibirsk	grey	4	200-300k	evening	mixed	2	found
1252	Chelyabinsk	red	4	1000-2000k	morning	bad	2	not found
1253	Yekaterinburg	blue	5+	1000-2000k	night	bad	3	not found
1254	Novosibirsk	black	5+	150-200k	night	good	2	not found
1255	Moscow	black	2	150-200k	morning	bad	2	not found
1256	Yekaterinburg	white	4	500-700k	evening	good	2	not found
1257	Samara	red	2	500-700k	morning	good	5+	not found
1258	Chelyabinsk	white	2	1000-2000k	afternoon	bad	1	found
1259	Moscow	black	5+	150-200k	night	bad	3	not found
1260	Chelyabinsk	blue	5+	2000k+	afternoon	mixed	3	found
1261	Yekaterinburg	black	4	2000k+	morning	mixed	3	not found
1262	Moscow	black	4	2000k+	afternoon	bad	5+	found
1263	Novosibirsk	black	2	300-500k	afternoon	good	3	not found
1264	Yekaterinburg	white	5+	500-700k	night	good	4	found
1265	Novosibirsk	red	2	1000-2000k	night	bad	2	not found
1266	Chelyabinsk	black	4	700-1000k	night	good	1	not found
1267	Kazan	black	2	2000k+	night	good	5+	found
1268	Moscow	grey	4	200-300k	night	good	5+	not found
1269	Samara	red	4	150-200k	evening	bad	3	not found
1270	Samara	white	4	150-200k	night	bad	2	found
1271	Saint Petersburg	red	4	300-500k	evening	bad	1	not found
1272	Novosibirsk	white	5+	200-300k	morning	good	5+	found
1273	Saint Petersburg	blue	4	150-200k	evening	mixed	5+	not found
1274	Novosibirsk	red	4	1000-2000k	night	good	5+	found
1275	Chelyabinsk	grey	4	150-200k	evening	mixed	4	found
1276	Kazan	red	4	200-300k	morning	bad	2	not found
1277	Novosibirsk	blue	5+	300-500k	night	mixed	1	found
1278	Kazan	black	2	700-1000k	morning	mixed	5+	not found
1279	Chelyabinsk	black	2	500-700k	evening	good	5+	found
1280	Moscow	white	5+	500-700k	morning	bad	4	not found
1281	Saint Petersburg	red	2	2000k+	afternoon	mixed	1	found
1282	Novosibirsk	red	2	2000k+	evening	mixed	4	found
1283	Kazan	grey	5+	1000-2000k	evening	mixed	1	found
1284	Chelyabinsk	red	4	150-200k	evening	good	2	found
1285	Saint Petersburg	grey	2	2000k+	morning	good	2	found
1286	Saint Petersburg	black	5+	150-200k	night	good	2	not found
1287	Kazan	grey	2	300-500k	night	bad	2	not found
1288	Moscow	black	5+	700-1000k	morning	mixed	1	not found
1289	Yekaterinburg	grey	2	1000-2000k	afternoon	good	1	found
1290	Novosibirsk	blue	5+	700-1000k	night	bad	4	not found
1291	Chelyabinsk	red	4	700-1000k	afternoon	good	3	found
1292	Novosibirsk	red	4	2000k+	evening	bad	2	found
1293	Saint Petersburg	red	5+	200-300k	evening	mixed	2	not found
1294	Samara	black	2	2000k+	evening	good	5+	not found
1295	Saint Petersburg	blue	4	150-200k	evening	bad	1	not found
1296	Saint Petersburg	grey	2	150-200k	night	good	1	found
1297	Chelyabinsk	red	4	500-700k	afternoon	mixed	5+	not found
1298	Novosibirsk	white	2	700-1000k	afternoon	bad	5+	found
1299	Kazan	black	4	150-200k	night	bad	3	not found
1300	Samara	white	4	700-1000k	afternoon	good	4	not found
1301	Samara	red	2	500-700k	morning	good	4	found
1302	Saint Petersburg	white	4	1000-2000k	morning	bad	4	not found
1303	Moscow	white	5+	200-300k	afternoon	bad	4	found
1304	Kazan	white	2	200-300k	morning	bad	5+	found
1305	Kazan	black	5+	200-300k	morning	mixed	2	not found
1306	Novosibirsk	grey	5+	150-200k	night	bad	4	not found
1307	Kazan	white	5+	1000-2000k	evening	good	2	found
1308	Chelyabinsk	white	5+	500-700k	morning	good	5+	not found
1309	Moscow	black	2	500-700k	night	bad	5+	not found
1310	Chelyabinsk	white	2	1000-2000k	morning	mixed	1	not found
1311	Yekaterinburg	white	2	2000k+	morning	mixed	2	found
1312	Samara	black	5+	150-200k	night	bad	3	found
1313	Saint Petersburg	blue	5+	500-700k	night	good	3	not found
1314	Moscow	grey	2	150-200k	evening	good	1	found
1315	Chelyabinsk	white	2	300-500k	evening	bad	2	not found
1316	Novosibirsk	blue	4	500-700k	evening	bad	3	not found
1317	Novosibirsk	blue	2	700-1000k	afternoon	bad	5+	found
1318	Moscow	black	5+	700-1000k	night	mixed	1	found
1319	Chelyabinsk	white	2	700-1000k	morning	good	1	found
1320	Saint Petersburg	blue	4	500-700k	morning	mixed	3	not found
1321	Novosibirsk	grey	5+	2000k+	night	good	1	not found
1322	Saint Petersburg	red	5+	700-1000k	morning	good	1	not found
1323	Saint Petersburg	red	4	150-200k	afternoon	bad	2	found
1324	Yekaterinburg	white	5+	700-1000k	evening	bad	4	not found
1325	Yekaterinburg	grey	2	500-700k	evening	bad	1	not found
1326	Kazan	white	5+	700-1000k	night	bad	5+	not found
1327	Yekaterinburg	white	4	1000-2000k	afternoon	mixed	5+	not found
1328	Novosibirsk	grey	2	700-1000k	afternoon	good	1	found
1329	Saint Petersburg	black	4	200-300k	night	bad	4	not found
1330	Kazan	grey	5+	2000k+	evening	good	2	not found
1331	Saint Petersburg	black	2	1000-2000k	evening	bad	1	not found
1332	Chelyabinsk	black	5+	2000k+	night	mixed	2	not found
1333	Yekaterinburg	blue	2	300-500k	night	bad	3	found
1334	Novosibirsk	blue	4	2000k+	night	bad	5+	found
1335	Samara	blue	5+	200-300k	afternoon	bad	4	not found
1336	Kazan	white	2	150-200k	morning	bad	4	not found
1337	Samara	grey	5+	700-1000k	morning	good	3	found
1338	Yekaterinburg	white	4	700-1000k	afternoon	bad	5+	not found
1339	Kazan	red	4	150-200k	night	bad	2	not found
1340	Kazan	white	4	700-1000k	afternoon	good	3	found
1341	Saint Petersburg	red	5+	500-700k	afternoon	good	4	found
1342	Saint Petersburg	white	4	1000-2000k	evening	mixed	3	found
1343	Novosibirsk	grey	5+	200-300k	evening	mixed	2	found
1344	Moscow	white	5+	300-500k	afternoon	good	2	not found
1345	Chelyabinsk	blue	2	700-1000k	afternoon	bad	5+	not found
1346	Kazan	black	2	700-1000k	evening	bad	1	found
1347	Samara	blue	5+	300-500k	evening	bad	2	not found
1348	Chelyabinsk	blue	5+	1000-2000k	night	mixed	5+	not found
1349	Moscow	blue	5+	700-1000k	night	bad	5+	not found
1350	Kazan	grey	4	700-1000k	night	bad	3	not found
1351	Kazan	red	4	700-1000k	evening	bad	3	not found
1352	Kazan	white	2	1000-2000k	afternoon	bad	3	not found
1353	Moscow	blue	4	2000k+	night	bad	2	not found
1354	Yekaterinburg	white	2	700-1000k	night	bad	1	not found
1355	Moscow	blue	2	500-700k	morning	good	3	not found
1356	Kazan	grey	5+	500-700k	morning	mixed	5+	found
1357	Yekaterinburg	black	5+	1000-2000k	morning	bad	4	found
1358	Chelyabinsk	black	4	500-700k	morning	good	4	not found
1359	Saint Petersburg	white	5+	200-300k	afternoon	bad	2	found
1360	Novosibirsk	black	2	1000-2000k	afternoon	mixed	2	found
1361	Moscow	red	5+	2000k+	night	mixed	1	found
1362	Kazan	blue	4	300-500k	evening	good	5+	not found
1363	Chelyabinsk	white	4	300-500k	afternoon	bad	4	not found
1364	Moscow	grey	4	1000-2000k	night	bad	3	found
1365	Kazan	white	2	2000k+	night	bad	1	not found
1366	Chelyabinsk	white	2	200-300k	afternoon	good	3	not found
1367	Moscow	white	5+	2000k+	night	bad	3	found
1368	Saint Petersburg	blue	4	200-300k	afternoon	mixed	2	not found
1369	Saint Petersburg	blue	2	200-300k	night	mixed	2	not found
1370	Chelyabinsk	red	2	700-1000k	morning	bad	2	found
1371	Chelyabinsk	white	2	200-300k	night	bad	3	not found
1372	Yekaterinburg	white	5+	200-300k	night	bad	5+	found
1373	Novosibirsk	black	4	700-1000k	morning	mixed	1	found
1374	Chelyabinsk	white	2	150-200k	afternoon	bad	3	not found
1375	Yekaterinburg	black	2	200-300k	morning	mixed	5+	found
1376	Chelyabinsk	blue	5+	2000k+	evening	bad	1	not found
1377	Chelyabinsk	blue	2	150-200k	afternoon	bad	3	found
1378	Moscow	blue	4	200-300k	afternoon	bad	3	not found
1379	Kazan	red	2	200-300k	afternoon	bad	3	not found
